present_phon	past_phon	freq	present_orth	past_orth	class
smÈoldÕ	smÈoldÕd	66	smoulder	smouldered	reg
tQtÈu	tQtÈud	66	tattoo	tattooed	reg
wÈup	wÈupt	66	whoop	whooped	reg
«bstÈen	«bstÈend	65	abstain	abstained	reg
bIfÈl	bIfÈEl	65	befall	befell	irreg
krÈed«l	krÈed«ld	65	cradle	cradled	reg
kÈÃd«l	kÈÃd«ld	65	cuddle	cuddled	reg
dImÈor«lYz	dImÈor«lYzd	65	demoralize	demoralized	reg
fÈist	fÈist«d	65	feast	feasted	reg
hÈarbÕ	hÈarbÕd	65	harbour	harboured	reg
hÈÃs«l	hÈÃs«ld	65	hustle	hustled	reg
lÈut	lÈut«d	65	loot	looted	reg
mÈel	mÈeld	65	mail	mailed	reg
pÈWÕ	pÈWÕd	65	power	powered	reg
rÈQk	rÈQkt	65	rack	racked	reg
spÈQn	spÈQnd	65	span	spanned	reg
tÈost	tÈost«d	65	toast	toasted	reg
ÃnlÈiS	ÃnlÈiSt	65	unleash	unleashed	reg
vÈOs	vÈOst	65	voice	voiced	reg
«sÈQsInet	«sÈQsInet«d	64	assassinate	assassinated	reg
blÈum	blÈumd	64	bloom	bloomed	reg
InkÈes	InkÈest	64	encase	encased	reg
IntÈYs	IntÈYst	64	entice	enticed	reg
hÈYk	hÈYkt	64	hike	hiked	reg
hÈalÕ	hÈalÕd	64	holler	hollered	reg
hjÈumÕ	hjÈumÕd	64	humour	humoured	reg
InskrÈYb	InskrÈYbd	64	inscribe	inscribed	reg
mÈQp	mÈQpt	64	map	mapped	reg
pÈip	pÈipt	64	peep	peeped	reg
pr«fÈEs	pr«fÈEst	64	profess	professed	reg
pÈÕs	pÈÕst	64	purse	pursed	reg
rikÈQpCÕ	rikÈQpCÕd	64	recapture	recaptured	reg
rIprÈoC	rIprÈoCt	64	reproach	reproached	reg
sÈQd«l	sÈQd«ld	64	saddle	saddled	reg
sÈÕvIs	sÈÕvIst	64	service	serviced	reg
spÈes	spÈest	64	space	spaced	reg
s«plÈQnt	s«plÈQnt«d	64	supplant	supplanted	reg
artÈIkjUlet	artÈIkjUlet«d	63	articulate	articulated	reg
bIsÈEt	bIsÈEt	63	beset		irreg
brÈIJ	brÈIJd	63	bridge	bridged	reg
sÈEnsÕ	sÈEnsÕd	63	censor	censored	reg
klÈQs	klÈQst	63	class	classed	reg
kÈamplImEnt	kÈamplImEnt«d	63	complement	complemented	reg
kÕtÈel	kÕtÈeld	63	curtail	curtailed	reg
dÈY«t	dÈY«t«d	63	diet	dieted	reg
drÈIb«l	drÈIb«ld	63	dribble	dribbled	reg
gÈQmb«l	gÈQmb«ld	63	gamble	gambled	reg
gÈab«l	gÈab«ld	63	gobble	gobbled	reg
mÈEm«rYz	mÈEm«rYzd	63	memorize	memorized	reg
mÈerIt	mÈerIt«d	63	merit	merited	reg
mÈItIget	mÈItIget«d	63	mitigate	mitigated	reg
pÈÕsIkjut	pÈÕsIkjut«d	63	persecute	persecuted	reg
plÈad	plÈad«d	63	plod	plodded	reg
rÈYp«n	rÈYp«nd	63	ripen	ripened	reg
skÈel	skÈeld	63	scale	scaled	reg
skrÈQp	skrÈQpt	63	scrap	scrapped	reg
SrÈEd	SrÈEd«d	63	shred	shredded	reg
stÈÃnt	stÈÃnt«d	63	stunt	stunted	reg
tÈQg	tÈQgd	63	tag	tagged	reg
tÈep	tÈept	63	tape	taped	reg
tÈer«s	tÈer«st	63	terrace	terraced	reg
tÈEDÕ	tÈEDÕd	63	tether	tethered	reg
kÈQp	kÈQpt	62	cap	capped	reg
krÈusIfY	krÈusIfYd	62	crucify	crucified	reg
forstÈl	forstÈld	62	forestall	forestalled	reg
IntÈon	IntÈond	62	intone	intoned	reg
lÈQg	lÈQgd	62	lag	lagged	reg
lÈiC	lÈiCt	62	leach	leached	reg
lÈWnJ	lÈWnJd	62	lounge	lounged	reg
mYgrÈet	mYgrÈet«d	62	migrate	migrated	reg
pÈer«lEl	pÈer«lEld	62	parallel	paralleled	reg
rÈÃmp«l	rÈÃmp«ld	62	rumple	rumpled	reg
sÈQNkS«n	sÈQNkS«nd	62	sanction	sanctioned	reg
sÈ	sÈd	62	saw	sawed	reg
spÈÕ	spÈÕd	62	spur	spurred	reg
s«bmÈÕJ	s«bmÈÕJd	62	submerge	submerged	reg
Ètomet	Ètomet«d	61	automate	automated	reg
brÈWn	brÈWnd	61	brown	browned	reg
bÈÃgÕ	bÈÃgÕd	61	bugger	buggered	reg
dIdÈÃkt	dIdÈÃkt«d	61	deduct	deducted	reg
dIslÈaJ	dIslÈaJd	61	dislodge	dislodged	reg
InJÈEndÕ	InJÈEndÕd	61	engender	engendered	reg
IgzÈort	IgzÈort«d	61	exhort	exhorted	reg
ÈEksYl	ÈEksYld	61	exile	exiled	reg
gÈÃt	gÈÃt«d	61	gut	gutted	reg
ImplÈQnt	ImplÈQnt«d	61	implant	implanted	reg
nÈÃm	nÈÃmd	61	numb	numbed	reg
riÈorg«nYz	riÈorg«nYzd	61	reorganize	reorganized	reg
skÈorC	skÈorCt	61	scorch	scorched	reg
sÈIn	sÈInd	61	sin	sinned	reg
spÈark	spÈarkt	61	spark	sparked	reg
ÃnrÈQv«l	ÃnrÈQv«ld	61	unravel	unravelled	reg
«kwÈIt	«kwÈIt«d	60	acquit	acquitted	reg
kÈQpIt«lYz	kÈQpIt«lYzd	60	capitalize	capitalized	reg
IJÈEkt	IJÈEkt«d	60	eject	ejected	reg
ImÈQnsIpet	ImÈQnsIpet«d	60	emancipate	emancipated	reg
IngrÈos	IngrÈost	60	engross	engrossed	reg
IvÈQkjuet	IvÈQkjuet«d	60	evacuate	evacuated	reg
fÈUt	fÈUt«d	60	foot	footed	reg
glÈWÕ	glÈWÕd	60	glower	glowered	reg
ImplÈor	ImplÈord	60	implore	implored	reg
lÈup	lÈupt	60	loop	looped	reg
mÈEdItet	mÈEdItet«d	60	meditate	meditated	reg
pÕsIvÈir	pÕsIvÈird	60	persevere	persevered	reg
prIdÈamInet	prIdÈamInet«d	60	predominate	predominated	reg
riÈop«n	riÈop«nd	60	reopen	reopened	reg
rÈIdIkjul	rÈIdIkjuld	60	ridicule	ridiculed	reg
s«lÈut	s«lÈut«d	60	salute	saluted	reg
SÈQdo	SÈQdod	60	shadow	shadowed	reg
slÈIt	slÈIt	60	slit		irreg
sÈoS«lYz	sÈoS«lYzd	60	socialize	socialized	reg
splÈIntÕ	splÈIntÕd	60	splinter	splintered	reg
supÕsÈid	supÕsÈid«d	60	supersede	superseded	reg
tÈYl	tÈYld	60	tile	tiled	reg
trQnspÈYÕ	trQnspÈYÕd	60	transpire	transpired	reg
wÈEl	wÈEld	60	well	welled	reg
bÈElC	bÈElCt	59	belch	belched	reg
bÈÃk	bÈÃkt	59	buck	bucked	reg
bÈÃnC	bÈÃnCt	59	bunch	bunched	reg
klÈQmÕ	klÈQmÕd	59	clamour	clamoured	reg
klÈEnz	klÈEnzd	59	cleanse	cleansed	reg
dIstrÈÃst	dIstrÈÃst«d	59	distrust	distrusted	reg
drÈÃg	drÈÃgd	59	drug	drugged	reg
InflÈet	InflÈet«d	59	inflate	inflated	reg
JÈÃmb«l	JÈÃmb«ld	59	jumble	jumbled	reg
lÈÃnJ	lÈÃnJd	59	lunge	lunged	reg
mjÈuz	mjÈuzd	59	muse	mused	reg
frÈez	frÈezd	59	phrase	phrased	reg
prÈe	prÈed	59	prey	preyed	reg
pÈÕ	pÈÕd	59	purr	purred	reg
rÈQm	rÈQmd	59	ram	rammed	reg
sÈQd«n	sÈQd«nd	59	sadden	saddened	reg
skÈId	skÈId«d	59	skid	skidded	reg
stÈÃd	stÈÃd«d	59	stud	studded	reg
trÈY«mf	trÈY«mft	59	triumph	triumphed	reg
«vÈEnJ	«vÈEnJd	58	avenge	avenged	reg
brÈek	brÈekt	58	brake	braked	reg
dIlÈud	dIlÈud«d	58	delude	deluded	reg
dInÈot	dInÈot«d	58	denote	denoted	reg
dÈÃb	dÈÃbd	58	dub	dubbed	reg
IntÈQNg«l	IntÈQNg«ld	58	entangle	entangled	reg
IgzÈud	IgzÈud«d	58	exude	exuded	reg
hÈEJ	hÈEJd	58	hedge	hedged	reg
pÈIk«l	pÈIk«ld	58	pickle	pickled	reg
rÈElIget	rÈElIget«d	58	relegate	relegated	reg
riplÈe	riplÈed	58	replay	replayed	reg
skÈf	skÈft	58	scoff	scoffed	reg
smÈYt	smÈot	58	smite	smote	irreg
snÈiz	snÈizd	58	sneeze	sneezed	reg
tÈOl	tÈOld	58	toil	toiled	reg
tÈot«l	tÈot«ld	58	total	totalled	reg
twÈÕl	twÈÕld	58	twirl	twirled	reg
wÈor«nt	wÈor«nt«d	58	warrant	warranted	reg
ÈQNg«l	ÈQNg«ld	57	angle	angled	reg
bÈEd	bÈEd«d	57	bed	bedded	reg
sImÈEnt	sImÈEnt«d	57	cement	cemented	reg
k«mÈEm«ret	k«mÈEm«ret«d	57	commemorate	commemorated	reg
k«mpjÈutÕYz	k«mpjÈutÕYzd	57	computerize	computerized	reg
kÈan	kÈand	57	con	conned	reg
dIs«bÈe	dIs«bÈed	57	disobey	disobeyed	reg
IkstÈINgwIS	IkstÈINgwISt	57	extinguish	extinguished	reg
flÈQg	flÈQgd	57	flag	flagged	reg
grÈWnd	grÈWnd«d	57	ground	grounded	reg
mÈirÕ	mÈirÕd	57	mirror	mirrored	reg
nÈEs«l	nÈEs«ld	57	nestle	nestled	reg
pÈIt	pÈIt«d	57	pit	pitted	reg
pÈWt	pÈWt«d	57	pout	pouted	reg
kwÈiri	kwÈirid	57	query	queried	reg
rIbjÈuk	rIbjÈukt	57	rebuke	rebuked	reg
rÈo	rÈod	57	row	rowed	reg
sÈQmp«l	sÈQmp«ld	57	sample	sampled	reg
sIkrÈit	sIkrÈit«d	57	secrete	secreted	reg
SÈÃn	SÈÃnd	57	shun	shunned	reg
skÈIn	skÈInd	57	skin	skinned	reg
skwÈandÕ	skwÈandÕd	57	squander	squandered	reg
s«bdÈu	s«bdÈud	57	subdue	subdued	reg
tÈINg«l	tÈINg«ld	57	tingle	tingled	reg
ÃprÈut	ÃprÈut«d	57	uproot	uprooted	reg
vÈir	vÈird	57	veer	veered	reg
wÈorp	wÈorpt	57	warp	warped	reg
blÈas«m	blÈas«md	56	blossom	blossomed	reg
bÈÕd«n	bÈÕd«nd	56	burden	burdened	reg
bÈÕo	bÈÕod	56	burrow	burrowed	reg
bÈÃst	bÈÃst«d	56	bust	busted	reg
bÈIzi	bÈIzid	56	busy	busied	reg
kÈeb«l	kÈeb«ld	56	cable	cabled	reg
kQstrÈet	kQstrÈet«d	56	castrate	castrated	reg
klÈQN	klÈQNd	56	clang	clanged	reg
kÈOn	kÈOnd	56	coin	coined	reg
kandIsÈEnd	kandIsÈEnd«d	56	condescend	condescended	reg
kÈornÕ	kÈornÕd	56	corner	cornered	reg
kÈor«let	kÈor«let«d	56	correlate	correlated	reg
dIpÈort	dIpÈort«d	56	deport	deported	reg
dÈIm	dÈImd	56	dim	dimmed	reg
dIvÈYn	dIvÈYnd	56	divine	divined	reg
ÈilNget	ÈilNget«d	56	elongate	elongated	reg
IrÈQd«ket	IrÈQd«ket«d	56	eradicate	eradicated	reg
flÈIt	flÈIt«d	56	flit	flitted	reg
fÈorIJ	fÈorIJd	56	forage	foraged	reg
hÈut	hÈut«d	56	hoot	hooted	reg
ÈYs	ÈYst	56	ice	iced	reg
ImpÈEl	ImpÈEld	56	impel	impelled	reg
ÈImplIket	ÈImplIket«d	56	implicate	implicated	reg
JÈolt	JÈolt«d	56	jolt	jolted	reg
mÈEd«l	mÈEd«ld	56	meddle	meddled	reg
ÈWtl	ÈWtld	56	outlaw	outlawed	reg
pÈarC	pÈarCt	56	parch	parched	reg
pÈard«n	pÈard«nd	56	pardon	pardoned	reg
rIvÈolt	rIvÈolt«d	56	revolt	revolted	reg
skwÈÕt	skwÈÕt«d	56	squirt	squirted	reg
stÈQmÕ	stÈQmÕd	56	stammer	stammered	reg
stÈo	stÈod	56	stow	stowed	reg
sÕpÈQs	sÕpÈQst	56	surpass	surpassed	reg
tÈiD	tÈiDd	56	teethe	teethed	reg
tÈINk«l	tÈINk«ld	56	tinkle	tinkled	reg
wÈYtwS	wÈYtwSt	56	whitewash	whitewashed	reg
CÈYm	CÈYmd	55	chime	chimed	reg
kÈanfIsket	kÈanfIsket«d	55	confiscate	confiscated	reg
k«ntÈort	k«ntÈort«d	55	contort	contorted	reg
dÈQmp«n	dÈQmp«nd	55	dampen	dampened	reg
ÈEmIgret	ÈEmIgret«d	55	emigrate	emigrated	reg
IntrÈQns	IntrÈQnst	55	entrance	entranced	reg
IksÈEl	IksÈEld	55	excel	excelled	reg
flÈak	flÈakt	55	flock	flocked	reg
fÈorfIt	fÈorfIt«d	55	forfeit	forfeited	reg
JÈel	JÈeld	55	jail	jailed	reg
l«mÈEnt	l«mÈEnt«d	55	lament	lamented	reg
mÈEk«nYz	mÈEk«nYzd	55	mechanize	mechanized	reg
mÈor	mÈord	55	moor	moored	reg
Èori«nt	Èori«nt«d	55	orient	oriented	reg
pÈEd«l	pÈEd«ld	55	pedal	pedalled	reg
pÈin«lYz	pÈin«lYzd	55	penalize	penalized	reg
protrÈQkt	protrÈQkt«d	55	protract	protracted	reg
stÈeriotYp	stÈeriotYpt	55	stereotype	stereotyped	reg
strÈÃt	strÈÃt«d	55	strut	strutted	reg
bIsÈiJ	bIsÈiJd	54	besiege	besieged	reg
brÈWz	brÈWzd	54	browse	browsed	reg
krÈo	krÈod	54	crow	crowed	reg
IkspÈWnd	IkspÈWnd«d	54	expound	expounded	reg
flÈWndÕ	flÈWndÕd	54	flounder	floundered	reg
frÈQkCÕ	frÈQkCÕd	54	fracture	fractured	reg
gÈQg	gÈQgd	54	gag	gagged	reg
gÈard«n	gÈard«nd	54	garden	gardened	reg
gÈÕg«l	gÈÕg«ld	54	gurgle	gurgled	reg
gÈÃS	gÈÃSt	54	gush	gushed	reg
YdÈi«lYz	YdÈi«lYzd	54	idealize	idealized	reg
IndÈYt	IndÈYt«d	54	indict	indicted	reg
mÈidiet	mÈidiet«d	54	mediate	mediated	reg
plÈeket	plÈeket«d	54	placate	placated	reg
pjÈUrIfY	pjÈUrIfYd	54	purify	purified	reg
rÈQvIJ	rÈQvIJd	54	ravage	ravaged	reg
rilÈe	rilÈed	54	relay	relayed	reg
rItrÈQkt	rItrÈQkt«d	54	retract	retracted	reg
TÈ	TÈd	54	thaw	thawed	reg
tr«vÈÕs	tr«vÈÕst	54	traverse	traversed	reg
wÈIlt	wÈIlt«d	54	wilt	wilted	reg
«lÈYt	«lÈYt«d	53	alight	alighted	reg
brÈQnC	brÈQnCt	53	branch	branched	reg
diJÈEnÕet	diJÈEnÕet«d	53	degenerate	degenerated	reg
dIstÈIl	dIstÈIld	53	distil	distilled	reg
ÈEC	ÈECt	53	etch	etched	reg
fÈWl	fÈWld	53	foul	fouled	reg
mÈl	mÈld	53	maul	mauled	reg
mÈIstIfY	mÈIstIfYd	53	mystify	mystified	reg
nÈziet	nÈziet«d	53	nauseate	nauseated	reg
ovÕrÈYd	ovÕrÈod	53	override	overrode	irreg
pÈÕmiet	pÈÕmiet«d	53	permeate	permeated	reg
pÈIkIt	pÈIkIt«d	53	picket	picketed	reg
pÈIti	pÈItid	53	pity	pitied	reg
pris«pÈoz	pris«pÈozd	53	presuppose	presupposed	reg
rÈEm«di	rÈEm«did	53	remedy	remedied	reg
rÈÃst	rÈÃst«d	53	rust	rusted	reg
skrÈQb«l	skrÈQb«ld	53	scrabble	scrabbled	reg
spÈun	spÈund	53	spoon	spooned	reg
sÕmÈWnt	sÕmÈWnt«d	53	surmount	surmounted	reg
jÈurInet	jÈurInet«d	53	urinate	urinated	reg
bÈel	bÈeld	52	bail	bailed	reg
brÈQnd	brÈQnd«d	52	brand	branded	reg
kÈart	kÈart«d	52	cart	carted	reg
klÈat	klÈat«d	52	clot	clotted	reg
glÈu	glÈud	52	glue	glued	reg
hÈInJ	hÈInJd	52	hinge	hinged	reg
nÈid	nÈid«d	52	knead	kneaded	reg
mÈotÕ	mÈotÕd	52	motor	motored	reg
ovÕSÈQdo	ovÕSÈQdod	52	overshadow	overshadowed	reg
ridIstrÈIbjut	ridIstrÈIbjut«d	52	redistribute	redistributed	reg
rilÈIv	rilÈIvd	52	relive	relived	reg
rIpÈil	rIpÈild	52	repeal	repealed	reg
rIpjÈudiet	rIpjÈudiet«d	52	repudiate	repudiated	reg
SÈoldÕ	SÈoldÕd	52	shoulder	shouldered	reg
trÈQmp	trÈQmpt	52	tramp	tramped	reg
trÈup	trÈupt	52	troop	trooped	reg
trÈÃnd«l	trÈÃnd«ld	52	trundle	trundled	reg
ÃnvÈel	ÃnvÈeld	52	unveil	unveiled	reg
wÈalo	wÈalod	52	wallow	wallowed	reg
QprIhÈEnd	QprIhÈEnd«d	51	apprehend	apprehended	reg
«prÈopriet	«prÈopriet«d	51	appropriate	appropriated	reg
k«nfÈWnd	k«nfÈWnd«d	51	confound	confounded	reg
dIsÈYfÕ	dIsÈYfÕd	51	decipher	deciphered	reg
dIs«pÈOnt	dIs«pÈOnt«d	51	disappoint	disappointed	reg
IlÈQps	IlÈQpst	51	elapse	elapsed	reg
Èer	Èerd	51	err	erred	reg
fÈer	fÈerd	51	fare	fared	reg
fÕmÈEnt	fÕmÈEnt«d	51	ferment	fermented	reg
frÈe	frÈed	51	fray	frayed	reg
gÈalf	gÈalft	51	golf	golfed	reg
InstÈIl	InstÈIld	51	instil	instilled	reg
IntÕspÈÕs	IntÕspÈÕst	51	intersperse	interspersed	reg
lÈo	lÈod	51	low	lowed	reg
pÈEg	pÈEgd	51	peg	pegged	reg
skÈQmpÕ	skÈQmpÕd	51	scamper	scampered	reg
sÈInT«sYz	sÈInT«sYzd	51	synthesize	synthesized	reg
trQnsplÈQnt	trQnsplÈQnt«d	51	transplant	transplanted	reg
«sÈel	«sÈeld	50	assail	assailed	reg
bÈolstÕ	bÈolstÕd	50	bolster	bolstered	reg
bÈOkat	bÈOkat«d	50	boycott	boycotted	reg
brÈed	brÈed«d	50	braid	braided	reg
k«mjÈut	k«mjÈut«d	50	commute	commuted	reg
kÈor«get	kÈor«get«d	50	corrugate	corrugated	reg
dÈQmp	dÈQmpt	50	damp	damped	reg
flÈnt	flÈnt«d	50	flaunt	flaunted	reg
lÈOtÕ	lÈOtÕd	50	loiter	loitered	reg
lÈÃl	lÈÃld	50	lull	lulled	reg
mÈÃDÕ	mÈÃDÕd	50	mother	mothered	reg
pÈer	pÈerd	50	pair	paired	reg
pÕvÈÕt	pÕvÈÕt«d	50	pervert	perverted	reg
pÈakIt	pÈakIt«d	50	pocket	pocketed	reg
rEk«lÈEkt	rEk«lÈEkt«d	50	recollect	recollected	reg
ridrÈEs	ridrÈEst	50	redress	redressed	reg
rÈumÕ	rÈumÕd	50	rumour	rumoured	reg
sÈYt	sÈYt«d	50	sight	sighted	reg
sÈYz	sÈYzd	50	size	sized	reg
slÈQnt	slÈQnt«d	50	slant	slanted	reg
slÈap	slÈapt	50	slop	slopped	reg
spÈQtÕ	spÈQtÕd	50	spatter	spattered	reg
strÈQd«l	strÈQd«ld	50	straddle	straddled	reg
tÈer«rYz	tÈer«rYzd	50	terrorize	terrorized	reg
ÈÃnJulet	ÈÃnJulet«d	50	undulate	undulated	reg
brÈenwS	brÈenwSt	49	brainwash	brainwashed	reg
brÈIm	brÈImd	49	brim	brimmed	reg
bÈUCÕ	bÈUCÕd	49	butcher	butchered	reg
CÈar	CÈard	49	char	charred	reg
kÈÃl	kÈÃld	49	cull	culled	reg
disÈEntr«lYz	disÈEntr«lYzd	49	decentralize	decentralized	reg
dIfjÈuz	dIfjÈuzd	49	diffuse	diffused	reg
dIsgrÈes	dIsgrÈest	49	disgrace	disgraced	reg
ImbÈItÕ	ImbÈItÕd	49	embitter	embittered	reg
ImpÈWÕ	ImpÈWÕd	49	empower	empowered	reg
fÈork	fÈorkt	49	fork	forked	reg
fÈorm«lYz	fÈorm«lYzd	49	formalize	formalized	reg
frIkwÈEnt	frIkwÈEnt«d	49	frequent	frequented	reg
ÈInst«tut	ÈInst«tut«d	49	institute	instituted	reg
lÈEvi	lÈEvid	49	levy	levied	reg
lÈok«lYz	lÈok«lYzd	49	localize	localized	reg
pÈol«rYz	pÈol«rYzd	49	polarize	polarized	reg
prolÈIfÕet	prolÈIfÕet«d	49	proliferate	proliferated	reg
ri«fÈÕm	ri«fÈÕmd	49	reaffirm	reaffirmed	reg
rÈisÕC	rÈisÕCt	49	research	researched	reg
sprÈInt	sprÈInt«d	49	sprint	sprinted	reg
stÈÃmp	stÈÃmpt	49	stump	stumped	reg
swÈit«n	swÈit«nd	49	sweeten	sweetened	reg
TrÈES	TrÈESt	49	thresh	threshed	reg
tÈInJ	tÈInJd	49	tinge	tinged	reg
ÃnrÈol	ÃnrÈold	49	unroll	unrolled	reg
jusÈÕp	jusÈÕpt	49	usurp	usurped	reg
vÈEt	vÈEt«d	49	vet	vetted	reg
ÈQmbUS	ÈQmbUSt	48	ambush	ambushed	reg
bambÈard	bambÈard«d	48	bombard	bombarded	reg
dÈElIget	dÈElIget«d	48	delegate	delegated	reg
dIsÈEmInet	dIsÈEmInet«d	48	disseminate	disseminated	reg
InlÈYt«n	InlÈYt«nd	48	enlighten	enlightened	reg
InlÈYv«n	InlÈYv«nd	48	enliven	enlivened	reg
fÈEDÕ	fÈEDÕd	48	feather	feathered	reg
f«lÈe	f«lÈed	48	fillet	filleted	reg
flÈel	flÈeld	48	flail	flailed	reg
gÈQs	gÈQst	48	gas	gassed	reg
glÈorIfY	glÈorIfYd	48	glorify	glorified	reg
InkrÈImInet	InkrÈImInet«d	48	incriminate	incriminated	reg
IntÕtwÈYn	IntÕtwÈYnd	48	intertwine	intertwined	reg
lÈEJIslet	lÈEJIslet«d	48	legislate	legislated	reg
mÈem	mÈemd	48	maim	maimed	reg
mÈad«ret	mÈad«ret«d	48	moderate	moderated	reg
ovÕÈEstImet	ovÕÈEstImet«d	48	overestimate	overestimated	reg
plÈÃmp	plÈÃmpt	48	plump	plumped	reg
pÕpÈort	pÕpÈort«d	48	purport	purported	reg
skÈet	skÈet«d	48	skate	skated	reg
stÈil	stÈild	48	steel	steeled	reg
trÈIk	trÈIkt	48	trick	tricked	reg
vÈeket	vÈeket«d	48	vacate	vacated	reg
wÈaft	wÈaft«d	48	waft	wafted	reg
wÈiz	wÈizd	48	wheeze	wheezed	reg
jÈQNk	jÈQNkt	48	yank	yanked	reg
È	Èd	47	awe	awed	reg
bIlÈIt«l	bIlÈIt«ld	47	belittle	belittled	reg
bÈIl	bÈIld	47	bill	billed	reg
bÈÃJ	bÈÃJd	47	budge	budged	reg
bÈÃtÕ	bÈÃtÕd	47	butter	buttered	reg
krÈInJ	krÈInJd	47	cringe	cringed	reg
dIsprÈuv	dIsprÈuvd	47	disprove	disproved	reg
dIswÈed	dIswÈed«d	47	dissuade	dissuaded	reg
dwÈorf	dwÈorft	47	dwarf	dwarfed	reg
IvÈIkt	IvÈIkt«d	47	evict	evicted	reg
hÈk	hÈkt	47	hawk	hawked	reg
JÈINg«l	JÈINg«ld	47	jingle	jingled	reg
JÈat	JÈat«d	47	jot	jotted	reg
pÈEn	pÈEnd	47	pen	penned	reg
riJÈEnÕet	riJÈEnÕet«d	47	regenerate	regenerated	reg
riÈIt«ret	riÈIt«ret«d	47	reiterate	reiterated	reg
rIpÈEnt	rIpÈEnt«d	47	repent	repented	reg
skrÈl	skrÈld	47	scrawl	scrawled	reg
SÈÃv«l	SÈÃv«ld	47	shovel	shovelled	reg
spÈort	spÈort«d	47	sport	sported	reg
stÈÃb	stÈÃbd	47	stub	stubbed	reg
tÈitÕ	tÈitÕd	47	teeter	teetered	reg
TÈÃd	TÈÃd«d	47	thud	thudded	reg
tÈIpIfY	tÈIpIfYd	47	typify	typified	reg
«vÈel	«vÈeld	46	avail	availed	reg
blÈQnC	blÈQnCt	46	blanch	blanched	reg
bÈs	bÈst	46	boss	bossed	reg
k«JÈol	k«JÈold	46	cajole	cajoled	reg
k«nkÈakt	k«nkÈakt«d	46	concoct	concocted	reg
k«nstrÈIkt	k«nstrÈIkt«d	46	constrict	constricted	reg
kÈu	kÈud	46	coo	cooed	reg
InkrÈÃst	InkrÈÃst«d	46	encrust	encrusted	reg
EkshÈel	EkshÈeld	46	exhale	exhaled	reg
fÈeri	fÈerid	46	ferry	ferried	reg
frÈst	frÈst«d	46	frost	frosted	reg
JEstÈIkjUlet	JEstÈIkjUlet«d	46	gesticulate	gesticulated	reg
grÈe	grÈed	46	grey	greyed	reg
hÈid	hÈid«d	46	heed	heeded	reg
IntÈÕ	IntÈÕd	46	inter	interred	reg
lÈis	lÈist	46	lease	leased	reg
WtstrÈIp	WtstrÈIpt	46	outstrip	outstripped	reg
ovÕrÈÃn	ovÕrÈQn	46	overrun	overran	irreg
pÈEt	pÈEt«d	46	pet	petted	reg
pÈWdÕ	pÈWdÕd	46	powder	powdered	reg
rÈQtIfY	rÈQtIfYd	46	ratify	ratified	reg
rÈik	rÈikt	46	reek	reeked	reg
s«lÈIsIt	s«lÈIsIt«d	46	solicit	solicited	reg
stÈek	stÈekt	46	stake	staked	reg
sup«rImpÈoz	sup«rImpÈozd	46	superimpose	superimposed	reg
tÈarnIS	tÈarnISt	46	tarnish	tarnished	reg
tÈINkÕ	tÈINkÕd	46	tinker	tinkered	reg
ÃnÈÕT	ÃnÈÕTt	46	unearth	unearthed	reg
ÈÃp	ÈÃpt	46	up	upped	reg
vÈEnt	vÈEnt«d	46	vent	vented	reg
«dÈIkt	«dÈIkt«d	45	addict	addicted	reg
bÈÕJ«n	bÈÕJ«nd	45	burgeon	burgeoned	reg
klÈQNk	klÈQNkt	45	clank	clanked	reg
kÈab«l	kÈab«ld	45	cobble	cobbled	reg
kÈansIkret	kÈansIkret«d	45	consecrate	consecrated	reg
k«nsÈYn	k«nsÈYnd	45	consign	consigned	reg
EnJInÈir	EnJInÈird	45	engineer	engineered	reg
Èikw«lYz	Èikw«lYzd	45	equalize	equalized	reg
ÈEvId«ns	ÈEvId«nst	45	evidence	evidenced	reg
fÈEns	fÈEnst	45	fence	fenced	reg
flÈ	flÈd	45	flaw	flawed	reg
InsÈYt	InsÈYt«d	45	incite	incited	reg
lÈÃg	lÈÃgd	45	lug	lugged	reg
mÈEzm«rYz	mÈEzm«rYzd	45	mesmerize	mesmerized	reg
nÈÃz«l	nÈÃz«ld	45	nuzzle	nuzzled	reg
ÈoriEntet	ÈoriEntet«d	45	orientate	orientated	reg
pÈik	pÈikt	45	peek	peeked	reg
pÈol	pÈold	45	poll	polled	reg
prÈap«get	prÈap«get«d	45	propagate	propagated	reg
prÈun	prÈund	45	prune	pruned	reg
rÈov	rÈovd	45	rove	roved	reg
SQNhÈY	SQNhÈYd	45	shanghai	shanghaied	reg
sÈIk«n	sÈIk«nd	45	sicken	sickened	reg
vÈQlIdet	vÈQlIdet«d	45	validate	validated	reg
«lÈYn	«lÈYnd	44	align	aligned	reg
«swÈeJ	«swÈeJd	44	assuage	assuaged	reg
bÈÃt	bÈÃt«d	44	butt	butted	reg
CÈEkÕ	CÈEkÕd	44	chequer	chequered	reg
k«nvÈin	k«nvÈind	44	convene	convened	reg
dÈarn	dÈarnd	44	darn	darned	reg
dÈedrim	dÈedrimd	44	daydream	daydreamed	reg
dÈÃl	dÈÃld	44	dull	dulled	reg
InSrÈYn	InSrÈYnd	44	enshrine	enshrined	reg
fortÈEl	fortÈold	44	foretell	foretold	irreg
gÈWJ	gÈWJd	44	gouge	gouged	reg
hÈord	hÈord«d	44	hoard	hoarded	reg
hÈNk	hÈNkt	44	honk	honked	reg
